RUNTIME   CONSUMER                          DISTRIBUTION            SPEC           PROVIDER  RDEP  BUILT VER  STATUS
Common    symoneural-accelerate             numpy                   >=1.17         SYMONEURA y     y     ok   PASS
Common    symoneural-accelerate             packaging               >=20.0         SYMONEURA y     y     ok   PASS
Common    symoneural-accelerate             psutil                  any            SYMONEURA y     y     ?    PASS
Common    symoneural-accelerate             pyyaml                  any            SYMONEURA y     y     ?    PASS
Common    symoneural-accelerate             torch                   >=2.0.0        SYMONEURA y     y     ok   PASS
Common    symoneural-accelerate             huggingface-hub         >=0.21.0       SYMONEURA y     y     ok   PASS
Common    symoneural-accelerate             safetensors             >=0.4.3        SYMONEURA y     y     ok   PASS
Common    symoneural-anyio                  idna                    >=2.8          SYMONEURA y     y     ok   PASS
Common    symoneural-anyio                  typing-extensions       >=4.16.0       SYMONEURA y     y     ok   PASS
Common    symoneural-api-python             fastapi                 >=0.115        SYMONEURA y     y     ok   PASS
Common    symoneural-api-python             pydantic                >=2.11         SYMONEURA y     y     ok   PASS
Common    symoneural-api-python             uvicorn                 >=0.30         SYMONEURA y     y     ok   PASS
Common    symoneural-fastapi                starlette               >=0.46.0       SYMONEURA y     y     ok   PASS
Common    symoneural-fastapi                pydantic                >=2.9.0        SYMONEURA y     y     ok   PASS
Common    symoneural-fastapi                typing-extensions       >=4.8.0        SYMONEURA y     y     ok   PASS
Common    symoneural-fastapi                typing-inspection       >=0.4.2        SYMONEURA y     y     ok   PASS
Common    symoneural-fastapi                annotated-doc           >=0.0.2        SYMONEURA y     y     ok   PASS
Common    symoneural-httpcore               certifi                 any            SYMONEURA y     y     ?    PASS
Common    symoneural-httpcore               h11                     >=0.16         SYMONEURA y     y     ok   PASS
Common    symoneural-httpx                  anyio                   any            SYMONEURA y     y     ?    PASS
Common    symoneural-httpx                  certifi                 any            SYMONEURA y     y     ?    PASS
Common    symoneural-httpx                  httpcore                ==1.*          SYMONEURA y     y     ok   PASS
Common    symoneural-httpx                  idna                    any            SYMONEURA y     y     ?    PASS
Common    symoneural-huggingface-hub        click                   <9.0.0,>=8.4.2 SYMONEURA y     y     ok   PASS
Common    symoneural-huggingface-hub        filelock                >=3.10.0       SYMONEURA y     y     ok   PASS
Common    symoneural-huggingface-hub        fsspec                  >=2023.5.0     SYMONEURA y     y     ok   PASS
Common    symoneural-huggingface-hub        hf-xet                  <2.0.0,>=1.5.2 SYMONEURA y     y     ok   PASS
Common    symoneural-huggingface-hub        httpx                   <1,>=0.23.0    SYMONEURA y     y     ok   PASS
Common    symoneural-huggingface-hub        packaging               >=20.9         SYMONEURA y     y     ok   PASS
Common    symoneural-huggingface-hub        pyyaml                  >=5.1          SYMONEURA y     y     ok   PASS
Common    symoneural-huggingface-hub        tqdm                    >=4.42.1       SYMONEURA y     y     ok   PASS
Common    symoneural-huggingface-hub        typing-extensions       >=4.1.0        SYMONEURA y     y     ok   PASS
Common    symoneural-jinja2                 markupsafe              >=2.0          SYMONEURA y     y     ok   PASS
Common    symoneural-markdown-it-py         mdurl                   ~=0.1          SYMONEURA y     y     ok   PASS
Common    symoneural-pydantic               annotated-types         >=0.6.0        SYMONEURA y     y     ok   PASS
Common    symoneural-pydantic               pydantic-core           ==2.46.5       SYMONEURA y     y     ok   PASS
Common    symoneural-pydantic               typing-extensions       >=4.14.1       SYMONEURA y     y     ok   PASS
Common    symoneural-pydantic               typing-inspection       >=0.4.2        SYMONEURA y     y     ok   PASS
Common    symoneural-pydantic-core          typing-extensions       >=4.14.1       SYMONEURA y     y     ok   PASS
Common    symoneural-pytorch                filelock                any            SYMONEURA y     y     ?    PASS
Common    symoneural-pytorch                typing-extensions       >=4.10.0       SYMONEURA y     y     ok   PASS
Common    symoneural-pytorch                setuptools              >=77.0.3       SYMONEURA y     y     ok   PASS
Common    symoneural-pytorch                sympy                   >=1.13.3       SYMONEURA y     y     ok   PASS
Common    symoneural-pytorch                networkx                >=2.5.1        SYMONEURA y     y     ok   PASS
Common    symoneural-pytorch                jinja2                  any            SYMONEURA y     y     ?    PASS
Common    symoneural-pytorch                fsspec                  >=0.8.5        SYMONEURA y     y     ok   PASS
Common    symoneural-rich                   markdown-it-py          >=2.2.0        SYMONEURA y     y     ok   PASS
Common    symoneural-rich                   pygments                <3.0.0,>=2.13. SYMONEURA y     y     ok   PASS
Common    symoneural-starlette              anyio                   <5,>=3.6.2     SYMONEURA y     y     ok   PASS
Common    symoneural-sympy                  mpmath                  <1.4,>=1.1.0   SYMONEURA y     y     ok   PASS
Common    symoneural-tokenizers             huggingface-hub         <2.0,>=0.16.4  SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           huggingface-hub         <2.0,>=1.5.0   SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           numpy                   >=1.17         SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           packaging               >=20.0         SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           pyyaml                  >=5.1          SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           regex                   >=2025.10.22   SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           tokenizers              <0.24.0,>=0.23 SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           typer                   any            SYMONEURA y     y     ?    PASS
Common    symoneural-transformers           safetensors             >=0.8.0        SYMONEURA y     y     ok   PASS
Common    symoneural-transformers           tqdm                    >=4.60         SYMONEURA y     y     ok   PASS
Common    symoneural-typer                  shellingham             >=1.3.0        SYMONEURA y     y     ok   PASS
Common    symoneural-typer                  rich                    >=13.8.0       SYMONEURA y     y     ok   PASS
Common    symoneural-typer                  annotated-doc           >=0.0.2        SYMONEURA y     y     ok   PASS
Common    symoneural-typing-inspection      typing-extensions       >=4.15.0       SYMONEURA y     y     ok   PASS
