RUNTIME   CONSUMER                          DISTRIBUTION            SPEC           PROVIDER  RDEP  BUILT VER  STATUS
API       symoneural-anyio                  idna                    >=2.8          SYMONEURA y     y     ok   PASS
API       symoneural-anyio                  typing-extensions       >=4.16.0       SYMONEURA y     y     ok   PASS
API       symoneural-api-python             fastapi                 >=0.115        SYMONEURA y     y     ok   PASS
API       symoneural-api-python             pydantic                >=2.11         SYMONEURA y     y     ok   PASS
API       symoneural-api-python             uvicorn                 >=0.30         SYMONEURA y     y     ok   PASS
API       symoneural-fastapi                starlette               >=0.46.0       SYMONEURA y     y     ok   PASS
API       symoneural-fastapi                pydantic                >=2.9.0        SYMONEURA y     y     ok   PASS
API       symoneural-fastapi                typing-extensions       >=4.8.0        SYMONEURA y     y     ok   PASS
API       symoneural-fastapi                typing-inspection       >=0.4.2        SYMONEURA y     y     ok   PASS
API       symoneural-fastapi                annotated-doc           >=0.0.2        SYMONEURA y     y     ok   PASS
API       symoneural-httpcore               certifi                 any            SYMONEURA y     y     ?    PASS
API       symoneural-httpcore               h11                     >=0.16         SYMONEURA y     y     ok   PASS
API       symoneural-httpx                  anyio                   any            SYMONEURA y     y     ?    PASS
API       symoneural-httpx                  certifi                 any            SYMONEURA y     y     ?    PASS
API       symoneural-httpx                  httpcore                ==1.*          SYMONEURA y     y     ok   PASS
API       symoneural-httpx                  idna                    any            SYMONEURA y     y     ?    PASS
API       symoneural-pydantic               annotated-types         >=0.6.0        SYMONEURA y     y     ok   PASS
API       symoneural-pydantic               pydantic-core           ==2.46.5       SYMONEURA y     y     ok   PASS
API       symoneural-pydantic               typing-extensions       >=4.14.1       SYMONEURA y     y     ok   PASS
API       symoneural-pydantic               typing-inspection       >=0.4.2        SYMONEURA y     y     ok   PASS
API       symoneural-pydantic-core          typing-extensions       >=4.14.1       SYMONEURA y     y     ok   PASS
API       symoneural-starlette              anyio                   <5,>=3.6.2     SYMONEURA y     y     ok   PASS
API       symoneural-typing-inspection      typing-extensions       >=4.15.0       SYMONEURA y     y     ok   PASS
API       symoneural-uvicorn                click                   >=7.0          SYMONEURA y     y     ok   PASS
API       symoneural-uvicorn                h11                     >=0.8          SYMONEURA y     y     ok   PASS
CLI       symoneural-anthropic-sdk-python   anyio                   <5,>=3.5.0     SYMONEURA y     y     ok   PASS
